Sample_Name,Substrate,Frequency,Substrate_Frequency,Replicate,Time,Run
2C_A_4,Cellulose,2,2C,A,4,run2
2C_A_5,Cellulose,2,2C,A,5,run2
2C_A_6,Cellulose,2,2C,A,6,run2
2C_A_7,Cellulose,2,2C,A,7,run2
2C_B_4,Cellulose,2,2C,B,4,run2
2C_B_5,Cellulose,2,2C,B,5,run2
2C_B_6,Cellulose,2,2C,B,6,run2
2C_B_7,Cellulose,2,2C,B,7,run2
2C_C_4,Cellulose,2,2C,C,4,run2
2C_C_5,Cellulose,2,2C,C,5,run2
2C_C_6,Cellulose,2,2C,C,6,run2
2C_C_7,Cellulose,2,2C,C,7,run2
2C_D_4,Cellulose,2,2C,D,4,run2
2C_D_5,Cellulose,2,2C,D,5,run2
2C_D_6,Cellulose,2,2C,D,6,run2
2C_D_7,Cellulose,2,2C,D,7,run2
2C_E_3,Cellulose,2,2C,E,3,run2
2C_E_4,Cellulose,2,2C,E,4,run2
2C_E_5,Cellulose,2,2C,E,5,run2
2C_E_6,Cellulose,2,2C,E,6,run2
2C_E_7,Cellulose,2,2C,E,7,run2
2G_A_3,Glucose,2,2G,A,3,run2
2G_A_4,Glucose,2,2G,A,4,run2
2G_A_5,Glucose,2,2G,A,5,run2
2G_A_6,Glucose,2,2G,A,6,run2
2G_A_7,Glucose,2,2G,A,7,run2
2G_B_3,Glucose,2,2G,B,3,run2
2G_B_4,Glucose,2,2G,B,4,run2
2G_B_5,Glucose,2,2G,B,5,run2
2G_B_6,Glucose,2,2G,B,6,run2
2G_B_7,Glucose,2,2G,B,7,run2
2G_C_2,Glucose,2,2G,C,2,run2
2G_C_3,Glucose,2,2G,C,3,run2
2G_C_4,Glucose,2,2G,C,4,run2
2G_C_5,Glucose,2,2G,C,5,run2
2G_C_6,Glucose,2,2G,C,6,run2
2G_C_7,Glucose,2,2G,C,7,run2
2G_D_2,Glucose,2,2G,D,2,run2
2G_D_3,Glucose,2,2G,D,3,run2
2G_D_4,Glucose,2,2G,D,4,run2
2G_D_5,Glucose,2,2G,D,5,run2
2G_D_6,Glucose,2,2G,D,6,run2
2G_D_7,Glucose,2,2G,D,7,run2
2G_E_2,Glucose,2,2G,E,2,run2
2G_E_4,Glucose,2,2G,E,4,run2
2G_E_5,Glucose,2,2G,E,5,run2
2G_E_6,Glucose,2,2G,E,6,run2
2G_E_7,Glucose,2,2G,E,7,run2
3C_A_1,Cellulose,3,3C,A,1,run2
3C_A_2,Cellulose,3,3C,A,2,run2
3C_A_3,Cellulose,3,3C,A,3,run2
3C_A_4,Cellulose,3,3C,A,4,run2
3C_A_5,Cellulose,3,3C,A,5,run2
3C_A_6,Cellulose,3,3C,A,6,run2
3C_B_1,Cellulose,3,3C,B,1,run2
3C_B_2,Cellulose,3,3C,B,2,run2
3C_B_3,Cellulose,3,3C,B,3,run2
3C_B_4,Cellulose,3,3C,B,4,run2
3C_B_5,Cellulose,3,3C,B,5,run2
3C_B_6,Cellulose,3,3C,B,6,run2
3C_C_1,Cellulose,3,3C,C,1,run2
3C_C_2,Cellulose,3,3C,C,2,run2
3C_C_3,Cellulose,3,3C,C,3,run2
3C_C_4,Cellulose,3,3C,C,4,run2
3C_C_5,Cellulose,3,3C,C,5,run2
3C_C_6,Cellulose,3,3C,C,6,run2
3C_D_1,Cellulose,3,3C,D,1,run2
3C_D_2,Cellulose,3,3C,D,2,run2
3C_D_3,Cellulose,3,3C,D,3,run2
3C_D_4,Cellulose,3,3C,D,4,run2
3C_D_5,Cellulose,3,3C,D,5,run2
3C_D_6,Cellulose,3,3C,D,6,run2
3C_E_1,Cellulose,3,3C,E,1,run2
3C_E_2,Cellulose,3,3C,E,2,run2
3C_E_3,Cellulose,3,3C,E,3,run2
3C_E_4,Cellulose,3,3C,E,4,run2
3C_E_5,Cellulose,3,3C,E,5,run2
3G_A_1,Glucose,3,3G,A,1,run2
3G_A_2,Glucose,3,3G,A,2,run2
3G_A_3,Glucose,3,3G,A,3,run2
3G_A_4,Glucose,3,3G,A,4,run2
3G_A_5,Glucose,3,3G,A,5,run2
3G_A_6,Glucose,3,3G,A,6,run2
3G_A_7,Glucose,3,3G,A,7,run2
3G_B_1,Glucose,3,3G,B,1,run2
3G_B_2,Glucose,3,3G,B,2,run2
