"Sample_Name","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run","MDS1","MDS2","MDS3"
"1C_A_1","Cellulose","1","1C","A",1,"run1",-0.335927245255399,1.26871406008838,-0.208319270871186
"1C_A_2","Cellulose","1","1C","A",2,"run1",-0.419300604293629,1.32049535322796,-0.223960906169346
"1C_A_5","Cellulose","1","1C","A",5,"run1",-0.606024724535673,1.21750472259422,-0.207955017570181
"1C_A_6","Cellulose","1","1C","A",6,"run1",-1.01878523084628,0.576863910604783,-0.0733351795688596
"1C_A_7","Cellulose","1","1C","A",7,"run1",-0.938791390785163,0.886805886572926,-0.204607882247907
"1C_B_1","Cellulose","1","1C","B",1,"run1",-0.344040487848788,1.26383436985554,-0.180666127143169
"1C_B_2","Cellulose","1","1C","B",2,"run1",-0.331694519827259,1.26519120114109,-0.158486610999466
"1C_B_4","Cellulose","1","1C","B",4,"run1",-0.539101301610245,1.22153665753053,-0.220197646302782
"1C_B_5","Cellulose","1","1C","B",5,"run1",-0.575610207776806,1.22249692651147,-0.211461082044317
"1C_B_7","Cellulose","1","1C","B",7,"run1",-0.935140556210632,0.728673167374271,-0.17049280305513
"1C_C_1","Cellulose","1","1C","C",1,"run1",-0.398145184861703,1.22194583002183,-0.174506745696617
"1C_C_2","Cellulose","1","1C","C",2,"run1",-0.438134682904656,1.30700416969448,-0.196908640566483
"1C_C_4","Cellulose","1","1C","C",4,"run1",-0.601674383021485,1.25520291643195,-0.248760632948328
"1C_C_6","Cellulose","1","1C","C",6,"run1",-1.03664907706078,0.588889636904877,-0.0784984149749974
"1C_C_7","Cellulose","1","1C","C",7,"run1",-1.12498667840216,0.630406198209514,-0.0907463413692781
"1C_D_1","Cellulose","1","1C","D",1,"run1",-0.419005011457452,1.2902250731701,-0.1666992294515
"1C_D_2","Cellulose","1","1C","D",2,"run1",-0.377421749152772,1.27104092802417,-0.155893626678904
"1C_D_3","Cellulose","1","1C","D",3,"run1",-0.405143584594201,1.2386009804539,-0.182027907226218
"1C_D_4","Cellulose","1","1C","D",4,"run1",-0.517054302017191,1.28794253648777,-0.205127217955205
"1C_D_5","Cellulose","1","1C","D",5,"run1",-0.646782747284215,1.12901047101478,-0.199217934249815
"1C_D_6","Cellulose","1","1C","D",6,"run1",-0.938038163905683,0.73835516281465,-0.157765136672779
"1C_E_1","Cellulose","1","1C","E",1,"run1",-0.377249426783469,1.23195058103868,-0.188920750083107
"1C_E_2","Cellulose","1","1C","E",2,"run1",-0.482580500361525,1.30489040952968,-0.234135671047778
"1C_E_3","Cellulose","1","1C","E",3,"run1",-0.292440263917766,1.21614377229958,-0.20680085070496
"1C_E_4","Cellulose","1","1C","E",4,"run1",-0.32248314904068,1.19324093915061,-0.261581386252748
"1C_E_5","Cellulose","1","1C","E",5,"run1",-0.474117846108397,1.11962819186646,-0.184234152514424
"1C_E_6","Cellulose","1","1C","E",6,"run1",-0.819070656752812,0.896457682816616,-0.206231264971917
"1G_A_2","Glucose","1","1G","A",2,"run1",0.897315403126375,-0.120908718668332,0.301448975502292
"1G_A_4","Glucose","1","1G","A",4,"run1",0.873657383793257,-0.0171068991555964,0.498196811374936
"1G_A_5","Glucose","1","1G","A",5,"run1",0.840162243994759,0.000746199386910596,0.519655100961619
"1G_A_6","Glucose","1","1G","A",6,"run1",0.772692816385159,-0.425709900803449,-0.193490874971223
"1G_B_2","Glucose","1","1G","B",2,"run1",0.611737228392874,-0.199735326368022,0.829119419538625
"1G_B_4","Glucose","1","1G","B",4,"run1",0.705675399685766,-0.0924362554561859,0.852331343466435
"1G_B_5","Glucose","1","1G","B",5,"run1",0.631999030931652,-0.281536309279536,0.653794003326229
"1G_B_6","Glucose","1","1G","B",6,"run1",0.735801618167379,-0.500163656180951,0.122773379756452
"1G_B_7","Glucose","1","1G","B",7,"run1",0.729048968954124,-0.363594528985111,0.347639244964301
"1G_C_4","Glucose","1","1G","C",4,"run1",0.626547602402344,-0.161168760928285,0.850810706413582
"1G_C_5","Glucose","1","1G","C",5,"run1",0.620860333032515,-0.262626986032859,0.711764152184502
"1G_C_7","Glucose","1","1G","C",7,"run1",0.65412133113374,-0.265891267093235,0.649146146007519
"1G_D_1","Glucose","1","1G","D",1,"run1",0.763952409725911,-0.31783614072977,0.59128728103545
"1G_D_2","Glucose","1","1G","D",2,"run1",0.746048484452268,-0.370659773131541,0.375963508276379
"1G_D_4","Glucose","1","1G","D",4,"run1",0.745444099777714,-0.175762976681465,0.569002189009877
"1G_D_6","Glucose","1","1G","D",6,"run1",0.699995599879061,-0.365378184059073,0.204139148155805
"1G_D_7","Glucose","1","1G","D",7,"run1",0.710458632270042,-0.330821315971232,0.33296539327967
"1G_E_1","Glucose","1","1G","E",1,"run1",0.783019047689865,-0.268025232750187,0.548545260642335
"1G_E_2","Glucose","1","1G","E",2,"run1",0.743140814907082,-0.379866997170259,0.242063124238797
"1G_E_4","Glucose","1","1G","E",4,"run1",0.764616261454788,-0.163291733702654,0.530779339381446
"1G_E_5","Glucose","1","1G","E",5,"run1",0.7317949612928,-0.329962811237894,0.254210430737929
