,2C_A_4,2C_A_5,2C_A_6,2C_A_7,2C_B_4,2C_B_5,2C_B_6,2C_B_7,2C_C_4,2C_C_5,2C_C_6,2C_C_7,2C_D_4,2C_D_5,2C_D_6,2C_D_7,2C_E_3,2C_E_4,2C_E_5,2C_E_6,2C_E_7,2G_A_3,2G_A_4,2G_A_5,2G_A_6,2G_A_7,2G_B_3,2G_B_4,2G_B_5,2G_B_6,2G_B_7,2G_C_2,2G_C_3,2G_C_4,2G_C_5,2G_C_6,2G_C_7,2G_D_2,2G_D_3,2G_D_4,2G_D_5,2G_D_6,2G_D_7,2G_E_2,2G_E_4,2G_E_5,2G_E_6,2G_E_7,3C_A_1,3C_A_2,3C_A_3,3C_A_4,3C_A_5,3C_A_6,3C_B_1,3C_B_2,3C_B_3,3C_B_4,3C_B_5,3C_B_6,3C_C_1,3C_C_2,3C_C_3,3C_C_4,3C_C_5,3C_C_6,3C_D_1,3C_D_2,3C_D_3,3C_D_4,3C_D_5,3C_D_6,3C_E_1,3C_E_2,3C_E_3,3C_E_4,3C_E_5,3G_A_1,3G_A_2,3G_A_3,3G_A_4,3G_A_5,3G_A_6,3G_A_7,3G_B_1,3G_B_2,3G_B_3,3G_B_4,3G_B_5,3G_B_6,3G_C_1,3G_C_2,3G_C_3,3G_C_4,3G_C_5,3G_C_6,3G_D_1,3G_D_2,3G_D_3,3G_D_4,3G_D_5,3G_D_6,3G_E_1,3G_E_2,3G_E_3,3G_E_4,3G_E_5,3G_E_6,7C_A_3,7C_A_4,7C_A_5,7C_A_6,7C_A_7,7C_B_2,7C_B_3,7C_B_4,7C_B_5,7C_B_6,7C_B_7,7C_C_2,7C_C_3,7C_C_4,7C_C_5,7C_C_6,7C_C_7,7C_D_2,7C_D_3,7C_D_4,7C_D_5,7C_D_6,7C_D_7,7C_E_2,7C_E_3,7C_E_4,7C_E_5,7C_E_6,7C_E_7,7G_A_3,7G_A_4,7G_A_5,7G_A_6,7G_A_7,7G_B_3,7G_B_4,7G_B_5,7G_B_6,7G_B_7,7G_C_3,7G_C_4,7G_C_5,7G_C_6,7G_C_7,7G_D_3,7G_D_4,7G_D_5,7G_D_6,7G_D_7,7G_E_3,7G_E_4,7G_E_5,7G_E_6,7G_E_7,negative_1,negative_2,negative_3,negative_4
ASV_1,467,32090,223,583,675,23342,1062,122,868,7015,897,81,1670,44690,1552,1312,788,146,40484,247,227,57623,37012,98,50649,71735,38229,71698,107,40632,73694,56217,59694,36806,87,22449,39703,29639,40516,53074,40962,36245,63879,53484,39796,40365,31460,61640,156,265,236,133,146,182,242,370,1724,410,168,98,443,693,218,457,223,275,298,353,218,301,275,140,89,705,273,136,195,39534,54419,41899,82523,62691,37749,53097,65062,207,59848,47102,43505,1667,111,50556,55725,35522,66757,130425,34661,61387,57795,62005,62648,49082,11387,65558,147705,60229,44095,49067,137,266,212,67,133,246,118,124,178,92,66,244,122,163,265,139,304,243,539,196,192,320,767,84,157,53,160,129,108,28706,24335,58572,40030,24819,17678,22019,39951,26019,53309,34307,39884,30361,55892,54724,64857,29805,26963,44799,59629,21999,35915,33172,30043,50981,35,37,45,101
ASV_2,18366,4314,27003,32582,40112,2848,41038,184,37837,735,37761,41,41583,3609,31721,21593,49977,180,2678,42811,38305,0,25,6,48,105,14,78,68,81,50,44,25,40,42,13,157,11,26,25,1382,34,32,21,72,1391,31,51,35004,55453,71583,36223,33864,20767,30745,41669,63084,25738,21653,11241,46035,47051,56224,52085,31121,18736,59510,66239,34185,30868,27942,20904,19,38950,30294,22355,36343,44,45,39,66,97,77,0,96,44,79,115,123,64,42,139,63,43,80,61,91,113,63,94,117,85,75,179,176,114,28,62,17338,21721,15727,14327,21432,19340,17877,10894,17574,16862,8693,16535,8305,15595,15982,24041,17615,13922,20159,19267,8767,22368,10983,6848,14434,161,16790,28705,20694,61,100,80,51,15,86,119,118,45,19,76,78,98,57,22,122,142,76,36,64,19,87,65,38,39,33,23,19,14
ASV_3,465,13116,3424,9225,654,14458,10000,69,712,2050,7443,35,755,13773,6317,8255,1326,41,5965,4530,3827,12308,14261,19,15076,14969,9295,22018,40,12390,24377,18096,14108,11472,23,7477,9229,10696,22527,31677,18478,12104,34081,19488,15757,14971,15414,34367,2731,2721,1565,13636,13683,16974,2630,1805,2300,20664,9708,14095,2604,1501,410,10597,8155,13160,4908,2922,354,11563,10750,16733,25,3139,410,3413,8272,21705,12044,19354,19311,13397,13665,12174,29543,89,28606,9949,7516,510,63,14943,25956,10344,14335,46899,21803,22573,31893,12693,13355,16218,7321,28100,95746,10058,8091,17173,39,65,45,17,35,98,38,43,35,23,0,42,31,33,59,22,1810,67,154,45,29,27,65,27,46,31,47,26,22,6452,9987,12450,13542,10459,4804,6432,10879,8552,18960,8789,11915,11575,17217,21956,17261,10484,4722,8464,27083,4248,10693,8752,12674,19649,0,26,9,22
ASV_4,22,36,16,107,0,0,14,53,0,0,13,28,6,21,15,42,37,0,11,9,0,12,0,0,19,0,0,16,27,34,8,20,0,0,37,12,43,0,0,0,7,26,9,13,20,32,12,0,78,110,76,69,330,298,71,143,97,170,108,318,65,134,8,37,40,306,73,220,18,56,99,303,0,64,32,65,63,4,11,19,25,11,6,0,13,0,18,14,0,12,0,12,12,12,20,20,5,14,6,17,15,10,8,78,16,21,0,7,12619,12377,13084,12334,27719,22387,21294,13142,28902,26031,22919,22229,13248,16636,21910,17816,29137,20852,34109,18109,17962,23914,33446,6241,14083,101,19277,29458,45035,25,34,36,18,8,36,19,16,0,0,31,23,29,23,0,37,34,20,11,27,11,31,28,0,20,0,0,0,0
ASV_5,8752,1526,7650,11350,16868,918,12694,41,15466,262,11284,14,20032,1559,15101,12185,25092,102,1317,10584,6280,354,462,11,454,415,525,1365,35,541,799,281,208,155,15,232,114,17,17,18,627,87,46,49,145,605,70,41,5397,12260,13366,8129,5085,4135,10065,11304,20438,10933,5254,5257,12327,8435,6766,7293,3481,4227,9665,13404,3536,5436,3415,2860,9,17603,5693,4734,8105,8,13,0,19,0,36,0,0,0,12,15,24,0,0,23,27,6,19,77,12,22,7,24,0,36,13,38,33,22,18,12,1220,1150,1057,833,2037,825,648,379,467,445,632,1753,2046,572,1860,742,5372,1764,1681,1466,728,675,1547,268,280,11,263,306,541,16,24,22,0,0,17,18,15,0,0,16,25,15,9,0,20,24,0,0,16,0,16,17,8,10,0,0,0,0
ASV_6,112,708,2457,3341,224,392,4108,17,75,43,3358,4,113,329,3226,2616,471,12,303,3530,2585,81,113,0,104,212,89,306,5,123,265,100,86,56,0,42,73,25,72,89,327,73,216,182,306,293,117,351,5105,10547,19499,12933,10482,10701,4627,8805,23453,14626,8663,7961,4056,5284,10045,10634,7205,5978,9908,11981,8214,8889,5920,8777,0,6677,7938,3841,11463,13,19,0,16,0,0,0,10,18,8,19,0,0,0,51,40,35,31,49,5,10,4,0,13,9,0,18,0,0,0,0,10,33,6,0,11,18,27,12,17,42,10,87,51,13,36,36,87,22,22,46,0,6,0,7,21,0,9,17,21,0,13,0,0,0,0,12,7,0,0,0,4,8,0,0,4,7,15,0,0,0,8,3,0,0,0,8,0,0
ASV_7,0,532,1413,6,0,383,0,0,0,139,0,0,0,545,0,5,13,0,747,0,0,556,485,2,678,1605,347,1083,5,546,1361,577,577,547,8,620,812,480,625,778,835,693,1513,661,1396,581,696,1510,0,0,0,2615,3406,2575,166,739,2596,3563,1985,1891,244,618,1185,3304,2566,4862,4,6,765,2428,2740,2233,0,0,218,686,2078,0,0,0,125,5,6,714,0,0,0,9,333,0,0,182,90,899,571,188,0,0,7,855,558,0,0,27,28,1502,792,6,2845,2517,2123,1451,2604,1050,1594,1105,1380,1173,1521,3213,1737,923,1452,1194,1989,1361,1962,1707,1089,1180,1931,680,1501,15,1282,1430,2247,9,0,0,0,0,0,7,0,0,0,0,3,5,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_8,150,82,1744,2870,91,55,1784,0,329,97,1838,6,0,59,0,0,227,0,275,1291,947,284,244,0,278,394,40,193,6,31,106,549,435,375,0,359,387,9,5,13,28,24,11,5,10,51,13,0,733,1889,3895,1402,2662,1351,581,1193,3292,2098,1228,867,954,1269,949,2221,1830,2586,1552,2600,578,1361,1951,1210,0,1377,383,706,1098,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,876,701,508,450,998,987,630,643,1801,846,1727,2427,1250,601,1188,483,1503,2486,2048,830,1455,1311,3944,689,570,0,552,563,2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_9,716,215,1694,2221,1125,164,1791,9,1259,41,2304,4,959,120,2827,2428,1111,10,163,2298,1872,0,12,0,9,21,0,12,0,3,23,0,5,10,4,9,19,2,5,7,75,0,19,0,9,54,12,10,619,1435,2470,1486,993,759,466,717,1642,1744,733,734,856,868,974,1509,816,964,1135,2137,1229,1259,937,897,0,1274,1249,685,1512,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,8,0,0,706,774,542,686,1147,1261,1307,717,1323,1041,1461,1113,601,367,752,624,1040,972,825,602,485,697,1003,465,529,5,589,748,1209,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_10,367,137,809,1196,440,57,1300,0,674,0,1239,0,336,76,1067,685,1196,4,88,710,671,0,12,0,0,11,10,49,0,6,21,0,0,0,0,0,8,14,9,6,31,6,12,0,7,37,6,16,471,1006,1703,1072,931,451,413,763,1314,1187,603,327,697,710,735,1391,536,604,886,1131,411,640,617,440,0,808,328,369,901,0,13,0,0,0,10,0,0,0,0,0,0,0,0,11,0,0,0,14,0,0,0,0,0,0,0,0,33,0,0,12,455,463,337,322,473,270,255,164,181,181,272,555,252,165,287,213,449,344,400,291,160,233,411,181,215,2,185,210,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_11,0,0,0,0,0,0,25,0,0,0,0,0,0,0,11,26,0,0,0,39,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,50,45,898,2920,5198,8,21,21,269,2191,2145,17,17,0,598,2001,4030,11,15,0,301,3123,3999,0,37,0,733,2117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,45,0,0,3301,212,154,0,72,83,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_12,20,276,151,711,38,82,824,0,232,11,637,0,27,170,424,388,91,0,241,170,178,217,290,0,416,452,81,428,0,114,361,186,167,157,0,203,94,73,104,130,103,239,212,189,264,202,215,291,61,273,686,468,495,348,14,61,62,340,159,161,31,70,34,406,197,516,249,544,99,417,352,420,0,58,60,100,168,259,423,591,806,430,375,558,411,0,680,475,336,11,0,242,565,248,292,1427,159,451,593,644,341,352,90,661,1834,676,411,921,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,51,81,103,128,223,45,42,102,121,299,73,57,97,167,226,231,174,96,257,844,73,117,86,195,314,0,0,0,0
ASV_13,0,17,226,1222,0,6,1221,0,0,0,889,4,0,22,692,730,7,0,11,201,304,22,21,0,28,27,15,60,0,11,54,14,0,7,0,0,0,0,0,0,10,14,0,6,12,0,6,0,12,42,63,1730,1775,1790,0,0,0,1649,1008,1069,10,17,0,1135,967,2112,88,140,18,1055,1794,1851,0,28,0,277,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,0,0,73,68,37,54,93,56,53,47,103,73,87,227,143,88,167,72,807,241,282,137,151,191,417,88,104,0,82,126,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_14,142,486,56,38,175,194,70,3,67,37,52,0,198,763,74,66,179,5,440,36,0,526,560,0,421,791,390,1502,0,469,1292,382,252,263,0,294,309,285,387,715,352,441,904,450,764,468,517,575,91,145,78,43,42,43,56,98,101,82,0,22,92,92,34,41,0,35,125,157,26,0,29,0,0,106,0,0,33,54,209,116,445,165,122,142,163,0,264,350,254,0,0,266,281,259,308,625,226,398,345,524,250,199,62,396,961,533,316,171,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_15,0,267,0,0,0,115,0,0,0,20,0,2,0,181,0,0,0,0,100,0,0,154,136,0,237,249,199,646,0,145,346,123,138,103,0,97,138,191,270,429,232,192,731,511,915,339,381,796,0,0,0,121,386,352,26,210,620,853,426,400,0,0,44,418,268,332,0,0,0,159,186,0,0,0,0,0,0,39,105,63,269,51,131,199,61,0,44,130,65,0,0,160,97,245,169,363,130,314,165,419,184,342,24,383,367,428,152,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_16,471,0,180,308,572,43,443,0,423,0,373,0,580,112,528,315,441,0,0,142,74,0,0,3,0,0,0,144,0,44,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,238,137,122,78,37,159,176,95,175,70,61,345,227,70,167,62,152,207,268,0,100,54,41,0,221,26,33,113,0,73,112,127,62,82,50,0,0,91,110,0,0,0,0,0,51,0,121,0,115,105,77,0,75,0,147,233,217,105,84,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,8,0,0,0,0,0,4,0,25,31,37,39,42,18,17,39,29,69,28,30,33,40,75,80,37,30,74,184,32,36,21,64,85,0,0,0,0
ASV_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,178,109,96,148,134,132,66,232,135,567,231,177,38,180,78,4118,193,141,90,50,177,1841,209,205,0,189,186,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_18,137,27,143,240,165,16,461,0,144,12,357,0,253,12,372,231,147,0,0,38,21,10,7,0,6,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,237,519,394,370,215,166,271,321,289,520,179,106,511,349,181,410,252,271,586,547,102,265,193,135,0,423,86,103,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,9,0,0,62,18,10,10,8,20,52,52,18,16,10,46,20,35,0,17,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_19,151,32,152,224,178,36,148,0,193,0,133,0,137,14,217,162,227,0,27,119,92,11,0,0,17,42,7,25,0,9,50,0,0,0,0,13,10,0,0,0,11,17,25,0,0,13,0,0,105,369,410,250,214,127,120,294,461,359,147,97,198,274,206,219,120,113,182,394,113,189,92,102,0,238,155,87,178,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,10,20,0,136,121,91,137,250,109,121,93,118,174,282,65,58,32,67,42,98,109,87,39,67,69,164,46,63,0,62,134,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_20,0,0,26,359,0,0,89,0,0,0,0,0,0,0,18,6,4,0,0,6,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,210,397,205,203,160,32,62,218,209,95,97,67,74,87,234,135,232,88,230,117,175,148,110,0,169,74,80,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,360,216,294,663,89,150,100,141,128,224,148,117,148,151,133,260,280,359,128,233,230,443,72,96,0,156,226,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ASV_21,0,36,0,0,0,20,0,0,0,0,0,0,0,48,0,0,0,0,22,0,0,51,77,0,24,55,11,93,0,32,85,34,33,35,0,37,19,50,113,126,30,33,96,95,50,46,73,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,136,209,162,72,100,106,88,0,348,130,116,4,0,119,265,188,142,438,79,275,237,350,123,167,29,312,1090,192,134,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,82,29,102,145,13,18,0,22,56,39,89,88,67,180,53,65,34,66,151,16,41,23,96,57,0,0,0,0
ASV_22,0,53,0,0,0,11,0,0,0,27,0,0,0,81,0,0,0,0,122,0,0,195,233,0,144,277,55,240,0,93,285,146,146,112,0,93,119,13,39,34,44,30,138,67,74,45,90,179,0,0,0,0,0,0,0,0,7,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,10,6,0,14,65,126,180,108,147,173,36,0,120,129,89,7,0,25,35,52,41,252,17,60,110,83,99,95,0,44,355,61,44,162,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,22,25,38,49,39,9,39,75,58,123,18,24,45,42,51,47,56,23,43,196,34,56,38,101,141,0,0,0,0
ASV_23,68,17,81,106,119,21,132,0,99,5,104,0,113,8,87,78,295,0,28,84,39,13,13,0,8,8,6,39,0,5,14,7,7,10,0,14,7,0,5,0,16,11,21,0,10,16,4,8,192,272,300,161,123,99,173,212,221,197,82,61,293,153,93,156,73,116,425,269,72,108,102,94,0,306,60,67,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,7,7,47,0,0,0,0,0,0,0,0,0,0,0,0,12,18,26,19,11,23,24,7,17,2,8,39,23,0,10,17,33,36,30,8,9,48,30,12,19,0,3,0,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
