"","Pseudomonas.1","Cellvibrio","Pseudomonas.2","Lacunisphaera","Asticcacaulis","Cohnella","Taibaiella","Xylophilus","Leadbetterella","Shinella","Stenotrophomonas","Pleomorphomonas","Bordetella","Nubsella","Achromobacter","Azonexus","Martelella","Youhaiella","Bosea","Pseudaminobacter","Methylophilus","Pseudomonas","Kaistia","Dysgonomonas","Neorhizobium","Devosia","Rhodopseudomonas","Mesorhizobium","Afipia","Microbacterium","Dokdonella","Pigmentiphaga","Christensenellaceae R-7 group","Pusillimonas","Parapedobacter","Kurthia","Terrimonas","Sphingopyxis","Ellin6055","Phenylobacterium","Flavobacterium","Succinivibrionaceae UCG-001","Rummeliibacillus","Kosakonia","Enterococcus","Herbaspirillum","Succinivibrionaceae UCG-002","Prevotella","Eoetvoesia","Fibrobacter","Solibacillus","Cellulomonas","Succiniclasticum","Rikenellaceae RC9 gut group","Klebsiella","Acinetobacter","Peptoclostridium","Weissella","Bacillus","Sporosarcina","Sphingobacterium","Saccharofermentans","Rhodococcus","Prevotella_7","Pseudobutyrivibrio","Orrella","Oligotropha","Aerococcus","Alcaligenes","Lactococcus","Caryophanon","Nocardioides","Sphingomonas","Chishuiella","Staphylococcus","Brachybacterium","probable genus 10","Butyrivibrio","Prevotellaceae YAB2003 group","Oceanobacillus","Lachnospiraceae UCG-006","Providencia","NK4A214 group","Moheibacter","Prevotella_9","Thermomonas","Ruminobacter","Nocardiopsis","Lachnospiraceae NK3A20 group","Prevotellaceae UCG-003","Lachnospiraceae XPB1014 group","Methanobrevibacter","Anaerovorax","[Eubacterium] ruminantium group","CPla-4 termite group","SP3-e08","Trabulsiella","Flexilinea","Brevundimonas","Luteimonas","Prevotellaceae UCG-001","Streptomyces","Sharpea","Megasphaera","[Eubacterium] ventriosum group","Faecalibacterium","Plot4-2H12","Lysobacter","Clostridium sensu stricto 1","Raoultibacter","UCG-004","Candidatus Methanomethylophilus","Porphyromonas","Cloacibacterium","Desulfovibrio","Acetitomaculum","Anaeroplasma","Oscillibacter","Treponema","Lachnospiraceae AC2044 group","Lachnospiraceae ND3007 group","UCG-001","Lachnospiraceae UCG-009","Mogibacterium","UCG-002","Oribacterium","Succinimonas","Allobaculum","Advenella","Coprococcus","Paenibacillus","Prevotellaceae NK3B31 group","[Eubacterium] xylanophilum group","Pajaroellobacter","Vulgatibacter","Enterorhabdus","Sutterella","Syntrophococcus","Blautia","Lachnospiraceae UCG-001","Erysipelotrichaceae UCG-009","UCG-005","Prevotellaceae Ga6A1 group","Acholeplasma","Papillibacter","Ruminococcus","Psychrobacter","Candidatus Udaeobacter","Synergistes","Atlantibacter","Acidothermus","Elusimicrobium","Mailhella","[Anaerorhabdus] furcosa group","Tyzzerella","Shuttleworthia","[Ruminococcus] gauvreauii group","Termite Treponema cluster","Endomicrobium","Candidatus Saccharimonas","Lachnospira","Prevotellaceae UCG-004"
"2C_A_4",0.0152839142529864,0.601080019636721,0.0152184585174276,0.000720013091147112,0.286434298805433,0.00366552119129439,0,0.00490918016691213,0.0234331533300605,0.012011127475045,0.000654557355588283,0,0.00464735722467681,0,0.0154148257241041,0,0.00448371788577974,0.00494190803469154,0,0,0.00222549500900016,0,0.000490918016691213,0,0,0.00078546882670594,0.000883652430044183,0.000687285223367698,0.000490918016691213,0,0,0.000458190148911798,9.81836033382425e-05,0,0,0,0,0,0,0,0,0,0,0,0.000229095074455899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54557355588283e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_A_5",0.591466224311123,0.0795134089024053,0.241747304395908,0.000663533314901852,0.0281264399594507,0.0130494885264031,0.00980554787577182,0.00151138143949866,0.00396276840844162,0.00252511289282094,0.00508708874758087,0.00031333517648143,0.00895769975117501,0.0049212054188554,0.000552944429084877,0,0.000497649986176389,0.000589807391023869,0.000663533314901852,0.000976868491383283,0.00031333517648143,0.00331766657450926,0.000276472214542438,0.000202746290664455,0,0,5.52944429084877e-05,0,0,0,0,0.000147451847755967,9.21574048474795e-05,0,0,0,0,0,0,0,9.21574048474795e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21574048474795e-05,0,0,5.52944429084877e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68629619389918e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_A_6",0.00468507080129417,0.567313752678684,0.0719357956216648,0.000336148577671331,0.160721038699105,0.0516198159586537,0.0296861212655994,0.0366401949661751,0.0355897306609521,0.0169965124585067,0.00331946720450439,0.00474809865960755,0.00117652002184966,0,0.00378167149880247,0,0.00300432791293752,0.00319341148787764,0,0,0.00170175217446111,0,0.000105046430522291,0,0.000735325013656036,0.000588260010924829,0.000525232152611454,0.000147065002731207,0,0,0,0,0.000147065002731207,0,0,0,0,0,0,0,6.30278583133745e-05,0,8.40371444178327e-05,0,0,0,0,4.20185722089163e-05,0,8.40371444178327e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126055716626749,0,0,0,0,0,0,6.30278583133745e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_A_7",0.00871241556578397,0.486908960487776,0.137859405822225,0.00159901966644749,0.169615637515691,0.0499282682766453,8.9664654193317e-05,0.04288959292247,0.0331908661605595,0.0178731544025345,0.0106252615219081,0.0182617012373722,0.000567876143224341,0,0.00460278558192361,0,0.00358658616773268,0.00334748042321717,0,0.000134496981289976,0.00158407555741527,5.9776436128878e-05,0.000313826289676609,0,0.000777093669675414,0.000537987925159902,0.000448323270966585,0.000179329308386634,0,0,0,0.000209217526451073,0.000149441090322195,0,0,0,0,7.47205451610975e-05,0.000119552872257756,0,0,0,0,0,0,0,0,8.9664654193317e-05,0,0,0,0,0,4.48323270966585e-05,0,0,0,0,0,0,0,2.9888218064439e-05,0,0,5.9776436128878e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48323270966585e-05,0,0,0,2.9888218064439e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_B_4",0.0109599272585569,0.651295706955901,0.0106189517438462,0,0.273884522959018,0.00363707215691368,0,0.00147756056374618,0.0182665454309281,0.00714424887965188,0.000617003312333572,0,0.00284146262258882,0,0.00928752354354744,0,0.00267909332986946,0.00289017341040462,0,0.000357212443982594,0.00193219458336039,0,0.000178606221991297,0,0,0,0.000811846463596805,0,0.000259790868350977,0,0,0.000389686302526466,0,0,0,0,0,0,9.74215756316166e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11846463596805e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87107878158083e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_B_5",0.539400101677682,0.0658131903683505,0.334103618801128,0,0.0212136617830568,0.00905855710126173,0.00885058002495725,0.0012709710218607,0.00378980450154827,0.00131718814992836,0.0019411193788418,0.000138651384202986,0.0044830614225632,0.00272681055599205,0.00154827379026667,0,0.000369737024541295,0.000831908305217914,0.000462171280676619,0.00025419420437214,0.00048527984471045,0,0.000392845588575126,0.000300411332439802,0,0,0.000277302768405971,0,0,0.000231085640338309,0,0,0,0,0,0.000161759948236817,0,0,0,0,0,0,0,0,0.000184868512270648,0,0,6.93256921014928e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.62171280676619e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_B_6",0.0136942141300564,0.529174349782724,0.12894740235458,0.000180526363296411,0.163685832548903,0.0529715928872613,0,0.023004216580057,0.0230944797617052,0.0167631623060953,0.0106252659540174,0.0157444778274942,0.000902631816482057,0,0.00571236992430788,0,0.00594447524854612,0.00190842155484778,0,0.000296579025415533,0.00170210571108045,0,0.000116052662119122,0,0.000670526492243814,0.000760789673892019,0.000838158115304767,0,0.000412631687534655,0,0,0.000270789544944617,0,0,0,0,0,7.73684414127477e-05,0.000141842142590038,0,0.000464210648476486,0,7.73684414127477e-05,0,0,0,0,3.86842207063739e-05,0,0,0,0,0,0,0,0,7.73684414127477e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57894804709159e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86842207063739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.57894804709159e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_C_4",0.0148320289805543,0.646543180342435,0.0121663647858925,0,0.264276682273333,0.00128156932435665,0,0.00562181743617785,0.0215132770582003,0.0115170363282184,0.00396432111000991,0,0.00114486859642528,0,0.00722805098937152,0,0.00246061310276477,0.00329790506134445,0,0,0.00169167150815078,0,0.000187963500905642,0,0,0,0.000580978093708349,0.000187963500905642,0.000273401455862752,0,0,0.000427189774785551,0,0,0,0.000410102183794129,0,0,0.000136700727931376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.54379549571101e-05,0,0,0,0,8.54379549571101e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_C_5",0.666698346321992,0.0698536399923969,0.194829880250903,0,0.0249002090857251,0.00408667553697016,0.013210416270671,0.00921877969967687,0.00389659760501806,0,0.00104542862573655,0,0.00351644174111386,0.001900779319521,0,0,0.0011404675917126,0,0,0.00256605208135335,0.000475194829880251,0,0.000760311727808401,0,0,0,0,0,0,0,0,0,0.0001900779319521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000665272761832351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285116897928151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2C_C_6",0.0130020727942136,0.547348127962429,0.107886764556668,0.000188435837597298,0.163562307034455,0.0486744263578252,0,0.0266419284233718,0.0333966284480135,0.0179593848294656,0.00923335604226761,0.0128861122787691,0.000753743350389192,0,0.0054066590325994,0,0.00517473800171042,0.00192784356926467,0,0.000376871675194596,0.00150748670077838,0,0.000318891417472351,0,0.000710258157097508,0.00152198176520895,0.000449346997347403,0,0,0,0,0.000376871675194596,0,0,0,0,0,0.000115960515444491,2.89901288611228e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.89901288611228e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69703865833684e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
