"","Pseudomonas.1","Cellvibrio","Pseudomonas.2","Lacunisphaera","Asticcacaulis","Cohnella","Taibaiella","Xylophilus","Leadbetterella","Shinella","Stenotrophomonas","Pleomorphomonas","Bordetella"
"2C_A_4",0.0152839142529864,0.601080019636721,0.0152184585174276,0.000720013091147112,0.286434298805433,0.00366552119129439,0,0.00490918016691213,0.0234331533300605,0.012011127475045,0.000654557355588283,0,0.00464735722467681
"2C_A_5",0.591466224311123,0.0795134089024053,0.241747304395908,0.000663533314901852,0.0281264399594507,0.0130494885264031,0.00980554787577182,0.00151138143949866,0.00396276840844162,0.00252511289282094,0.00508708874758087,0.00031333517648143,0.00895769975117501
"2C_A_6",0.00468507080129417,0.567313752678684,0.0719357956216648,0.000336148577671331,0.160721038699105,0.0516198159586537,0.0296861212655994,0.0366401949661751,0.0355897306609521,0.0169965124585067,0.00317240220177318,0.00474809865960755,0.00117652002184966
"2C_A_7",0.00871241556578397,0.486908960487776,0.137859405822225,0.00159901966644749,0.169615637515691,0.0499282682766453,8.9664654193317e-05,0.04288959292247,0.0331908661605595,0.0178731544025345,0.0106252615219081,0.0182617012373722,0.000567876143224341
"2C_B_4",0.0109599272585569,0.651295706955901,0.0106189517438462,0,0.273884522959018,0.00363707215691368,0,0.00147756056374618,0.0182665454309281,0.00714424887965188,0.000617003312333572,0,0.00284146262258882
"2C_B_5",0.539400101677682,0.0658131903683505,0.334103618801128,0,0.0212136617830568,0.00905855710126173,0.00885058002495725,0.0012709710218607,0.00378980450154827,0.00131718814992836,0.00189490225077414,0.000138651384202986,0.0044830614225632
"2C_B_6",0.0136942141300564,0.529174349782724,0.12894740235458,0.000180526363296411,0.163685832548903,0.0529715928872613,0,0.023004216580057,0.0230944797617052,0.0167631623060953,0.0106252659540174,0.0157444778274942,0.000902631816482057
"2C_C_4",0.0148320289805543,0.646543180342435,0.0121663647858925,0,0.264276682273333,0.00128156932435665,0,0.00562181743617785,0.0215132770582003,0.0115170363282184,0.00396432111000991,0,0.00114486859642528
"2C_C_5",0.666698346321992,0.0698536399923969,0.194829880250903,0,0.0249002090857251,0.00408667553697016,0.013210416270671,0.00921877969967687,0.00389659760501806,0,0.00104542862573655,0,0.00351644174111386
"2C_C_6",0.0130020727942136,0.547348127962429,0.107886764556668,0.000188435837597298,0.163562307034455,0.0486744263578252,0,0.0266419284233718,0.0333966284480135,0.0179593848294656,0.00923335604226761,0.0128861122787691,0.000753743350389192
"2C_D_4",0.0249536787998326,0.621346602115833,0.0112814535891459,8.9653935807782e-05,0.299324607016915,0.00168848245771323,0,0,0.0143296874066105,0.00502062040523579,0.000403442711135019,0,0.0029585798816568
"2C_D_5",0.672748347860121,0.0543286817504403,0.207334146231315,0.000316126992729079,0.023468665793554,0.00495265621942224,0.00820424814463563,0.000888166312905508,0.00180643995845188,0.00114407864035286,0.0025591232744735,0.000331180659049512,0.0114859474024899
"2C_D_6",0.0240143591013183,0.490824410472241,0.0977440118833942,0.00023209754286068,0.233660332982608,0.0499164448845702,0,0,0.0437426502444761,0.0165098718821563,0.00656062387819521,0.0107074333106394,0.00114501454477935
"2C_D_7",0.0255645836986809,0.420743944973792,0.160850334171197,0.000818378441573625,0.2374271740613,0.0509732857894429,9.7426004949241e-05,0,0.0473100680033515,0.013347362678046,0.00756025798406111,0.0142241967225892,0.00128602326532998
"2C_E_3",0.00961526728734763,0.609825143679914,0.0161800056129733,0.00045147828633485,0.30617549083011,0.00574719656388418,0.000158627506009542,0.00276988029724354,0.0135565507058924,0.0145937305528779,0.00111039254206679,8.5414810928215e-05,0.00218417873659293
"2C_E_5",0.761421128853279,0.0503676954616412,0.112189433692565,0.000206887472023171,0.0247700727867742,0.00569880945663827,0.0140495401455735,0.00517218680057928,0.00306569617634336,0.00165509977618537,0.00453271643250766,0.000206887472023171,0.00827549888092686
"2C_E_6",0.00368579699764228,0.63883666099621,0.0675978153818605,0.00013430029546065,0.157937147461724,0.0526755603306772,0,0.0192646312710777,0.0342913421076193,0.0105948010863402,0.00253678335870117,0.00299937326528785,0.0005372011818426
"2C_E_7",0.00408045873703511,0.688554942388237,0.0687925796767989,0,0.112886699861588,0.0464668979525804,0,0.0170228829249879,0.0336503028886772,0.012061620319606,0.00319965486868832,0.00546457910158005,0
"2G_A_3",0.794219398233016,0,0.169641503452648,0.000165396330958058,0.00487919176326272,0.00111642523396689,0.00766336333439003,0.00391437983267405,0,0,0.00299091698482489,0.00030322660675644,0.00724987250699489
"2G_A_4",0.683912931002624,0.000461953508998854,0.263516759673306,0,0.00853690084629883,0.00208802986067482,0.00896189807457777,0.00450866624782882,0.00022173768431945,0.00022173768431945,0.00535866070438671,0.000388040947559038,0.0103477586015743
"2G_A_6",0.735760252182629,0.000697279158616482,0.219003762402127,0.000276006333619024,0.00659509870858089,0.00151077151033571,0.00984906811545781,0.00403840846032046,0.00013073984224059,0,0.00604308604134284,0.000406746175859614,0.00611571928703206
"2G_A_7",0.782415688669779,0.00114523799136163,0.163267309454212,0,0.00452641682300074,0.00231229003970158,0.0175057807250993,0.00429736922472842,0.000229047598272327,0.000119977313380743,0.0049299768770996,0.000294489769207277,0.00862745953492431
"2G_B_3",0.774258227848101,0.000283544303797468,0.188253164556962,0,0.0106329113924051,0.00180253164556962,0.00702784810126582,0.000810126582278481,0,0.00020253164556962,0.00164050632911392,0.00030379746835443,0.00789873417721519
"2G_B_4",0.714386776003109,0.000777178840807867,0.219383637396252,0.000159421300678537,0.0136006297141377,0.00304893237547702,0.0107908292896785,0.00192301943943485,0.000119565975508903,0.000488227733328019,0.00426451979315086,0.000597829877544513,0.0149656746011977
"2G_B_6",0.733072329370163,0.00146138163710827,0.223537265231746,0.000613419452613347,0.00976058599599473,0.00221913507857181,0.00985079473902611,0.000559294206794522,5.41252458188248e-05,0.00010825049163765,0.00205675934111534,0.000198459234669024,0.00846158009634294
"2G_B_7",0.710851741101572,0.000482299604514324,0.235140349184914,7.71679367222919e-05,0.0077071476801389,0.00255618790392592,0.0131281952348799,0.00102247516157037,0.000221857818076589,0.000202565833896016,0.00348220314459342,0.00052088357287547,0.0124626217806501
"2G_C_2",0.730802729931752,0.000571985700357491,0.235242118947026,0.000259993500162496,0.00365290867728307,0.00129996750081248,0.00750081247968801,0.00713682157946051,0,0,0.00241793955151121,0.000181995450113747,0.00496587585310367
"2G_C_3",0.785892017852206,0.000329133588740998,0.18573666679832,0,0.00273839145832511,0.00113221954526903,0.00759640322814224,0.00572692444409337,6.58267177481996e-05,0,0.00219861237278987,0,0.00331766657450926
"2G_C_4",0.732866074628649,0.000796463701166819,0.228425789494644,0,0.00308629684202142,0.00111504918163355,0.0108916411134563,0.00746684719843893,0.000199115925291705,0,0.00312612002707977,0.000139381147704193,0.00523674883517184
"2G_C_6",0.700087319902701,0.000405413833967442,0.233175325890351,0.000374228154431485,0.00723507765234204,0.0013097985405102,0.0193351213122934,0.0111956589534086,0.000280671115823614,0,0.00633069294579929,0,0.00916858978357138
"2G_C_7",0.772116450477431,0.00305322728068299,0.179479201104607,0.000836234223371774,0.00221699305731122,0.00141965344897999,0.0157912137064623,0.00752610801034597,0.000369498842885203,0.000155578460162191,0.00182804690690574,0,0.00600921802376461
"2G_D_2",0.713110218222939,0.000264658470274042,0.257344272550105,0,0.000409017635878065,0.000601496523350095,0.0115487332483218,0.000216538748406034,4.81197218680076e-05,0.000336838053076053,0.00175636984818228,0,0.00685706036619108
"2G_D_3",0.625362721491634,0.000401308884361301,0.347703278384886,0,0.000262394270543928,0.00111131691053899,0.00964684818176205,7.71747854540964e-05,7.71747854540964e-05,0.000138914613817374,0.00160523553744521,0,0.00597332839414706
"2G_D_4",0.606712544868424,0.00028578614051533,0.362113902924164,0,0.000205766021171037,0.00101739866023457,0.00889366469283706,0.000148608793067971,8.00201193442923e-05,6.85886737236791e-05,0.00148608793067971,0,0.00817348361873843
"2G_D_5",0.640752096108122,0.0216180703291203,0.289043924414967,0.000109498185458641,0.0098079088975097,0.0051151295207108,0.0130615692654236,0.000437992741834564,0.00117319484419972,0.000484920535602553,0.00161118758603429,0.00015642597922663,0.00550619446877737
"2G_D_6",0.718562280684364,0.000674054836343451,0.239963521738268,0.000515453698380286,0.00172478737534942,0.00144723538391388,0.0137388235760592,0.000475803413889495,0,0.000118950853472374,0.00473820899664955,0.000277551991435539,0.00874288773021946
"2G_D_7",0.624678512404776,0.000312930891168504,0.333281178184805,8.80118131411416e-05,0.000449838156054724,0.0021122835153874,0.0147957636980608,0.000107569993839173,0.000185802716631299,0.000117349084188189,0.00207316715399134,0,0.00884029767551022
"2G_E_2",0.709289834891585,0.000278496120946887,0.258444400238711,0.000172402360586168,0.000649824282209403,0.00241363304820635,0.00876599694980439,6.63086002254492e-05,0,0,0.00250646508852198,7.95703202705391e-05,0.00596777402029043
"2G_E_4",0.665629651931022,0.00120427517687792,0.263552277250907,0.000334520882466088,0.00242527639787914,0.00511816950173115,0.0233495575961329,0.000167260441233044,0.00015053439710974,0.000117082308863131,0.00441567564855236,0.000200712529479653,0.0127786977102046
"2G_E_5",0.676334573238162,0.0233068596896887,0.250846151268389,0.000536175061157468,0.0101370597500084,0.00490935290372307,0.00973492845414028,0.000854529003719714,0.000904795415703227,0.000619952414463322,0.00338460507355652,0,0.00784156026942797
"2G_E_6",0.637823371989295,0.000628497283269808,0.312505068526478,0.000243289270943151,0.00141918741383505,0.00237207039169573,0.0141107777147028,0.000263563376855081,0.000243289270943151,0.000121644635471576,0.0043589327710648,0.000121644635471576,0.0104817127564674
"2G_E_7",0.614011495283348,0.000508023787466754,0.34233830399745,0,0.000408411280120332,0.00349639900785943,0.0150414886093098,0,9.96125073464224e-05,0.000159380011754276,0.00289872396378089,0,0.00572771917241929
"3C_A_1",0.00302924385413026,0.679715717115228,0.0530311856771137,0.00151462192706513,0.104800186415006,0.0991300633034293,0,0.0142335624684454,0.0120198842673502,0.00914598625189328,0.00118451201988427,0.00023301875801002,0.00176705891490932
"3C_A_2",0.00299421495073669,0.626559251559252,0.0307443731356775,0.00124288167766429,0.138524812437856,0.11916975503932,0,0.0213436680827985,0.0162139564313477,0.011366717888457,0.00308460634547591,0.000474554822380909,0.00163834402964838
"3C_A_3",0.00200991330119743,0.609642473896677,0.0133284504931101,0.000647260215639851,0.113832632134766,0.166064828220545,0,0.0331720860515424,0.0210359570082952,0.0145037387794035,0.00584237510432813,0.000536544652438297,0.000664293379209321
"3C_A_4",0.00161200397546845,0.439034736867622,0.165272828642765,0.000836302814340775,0.0985261677938574,0.156752236201004,0.0316946646304511,0.0169927035609531,0.0180108113349332,0.0129929944488886,0.00567231474074613,0.0209681720117325,0.000521174217632657
"3C_A_5",0.00186295776445068,0.432104121475054,0.174594870486155,0.00421079494704606,0.0648845221385734,0.133750159499809,0.0434605078473906,0.0339670792395049,0.0126706647952022,0.0118795457445451,0.0063161924205691,0.0226489728212326,0.000535919356896772
