,Pseudomonas.1,Asticcacaulis,Cellvibrio,Pseudomonas.2,Cohnella,Lacunisphaera,Taibaiella,Achromobacter,Leadbetterella,Bordetella,Shinella,Xylophilus,Methylophilus,Stenotrophomonas,Pleomorphomonas
1C_A_1,0.034813465,0.762443656,0.014289824,0.06252997,0.008823247,0,0,0.044499856,0.001246763,0.00335667,0.01419392,0.003068956,0.023304882,0,0
1C_A_2,0.017299737,0.78666792,0.011658518,0.052275291,0.004795036,0,0,0.062053404,0.00611132,0.004324934,0.013726965,0.003290711,0.013915006,0,0
1C_A_5,0.003992016,0.794268606,0.082264043,0.040419162,0.005916738,0,0.00035643,0.024023382,0.007912746,0.003065298,0.008768178,0.000641574,0.0106929,0,0
1C_A_6,0.010397554,0.479714577,0.42069317,0.022629969,0.002446483,0,0,0.018450561,0.011009174,0.003873598,0.006320082,0.002650357,0.003363914,0,0
1C_A_7,0.00719252,0.664109326,0.256053704,0.01822105,0.002157756,0,0,0.013905538,0.014864541,0,0.005274515,0.000959003,0.00743227,0,0
1C_B_1,0.023450003,0.792150859,0.020457867,0.075151346,0.00744555,0,0,0.028042586,0.001113353,0.003479229,0.009393918,0.002644214,0.017813652,0,0
1C_B_2,0.014362009,0.778651848,0.014145497,0.087182448,0.008155312,0.000360855,0,0.045323326,0.004546767,0.003103349,0.007866628,0.002020785,0.014145497,0,0
1C_B_4,0.017720024,0.782831266,0.064185863,0.04410317,0.008072455,0.001181335,0,0.034258712,0.006103564,0,0.014176019,0,0.00689112,0,0
1C_B_5,0.006509609,0.795515602,0.072638975,0.0472205,0.005166357,0.000516636,0.000826617,0.03244472,0.007542881,0,0.006096301,0.001343253,0.009506096,0,0
1C_B_7,0.007341975,0.556269359,0.313295859,0.028335437,0.002982678,0,0,0.024664449,0.016404726,0.00630951,0.006653665,0.002638522,0.004359298,0,0
1C_C_1,0.026524622,0.746168062,0.037938906,0.065333188,0.014566801,0.00043483,0,0.043156865,0.001413197,0.004239591,0.012827481,0.002174149,0.023045983,0,0
1C_C_2,0.008697482,0.800799607,0.018657502,0.059269131,0.005470997,0,0,0.042575577,0.005611279,0.00357719,0.015080311,0.004348741,0.013817774,0,0
1C_C_4,0.016624258,0.801865988,0.06293469,0.023240034,0.006276506,0.001187447,0,0.034096692,0.006785411,0,0.017302799,0.003053435,0.010687023,0,0
1C_C_6,0.006432211,0.480661599,0.411745051,0.022638042,0.003007268,0,0,0.020967338,0.013699774,0.00609807,0.007016958,0.002338986,0.003592014,0,0
1C_C_7,0.00352841,0.525611388,0.404307093,0.011436914,0.00352841,0,0,0.009855214,0.020683781,0,0.005596788,0.00170337,0.004258426,0,0
1C_D_1,0.009307359,0.804545455,0.025974026,0.069480519,0.011580087,0,0,0.035064935,0.001298701,0,0.009090909,0.003354978,0.016341991,0,0
1C_D_2,0.004266153,0.782357394,0.021261956,0.082845937,0.006674465,0.000412854,0,0.043624854,0.005229478,0.004334962,0.008669924,0.004197344,0.015688433,0,0
1C_D_3,0.015121815,0.779893587,0.033604032,0.074768972,0.008120975,0,0,0.036964436,0.006160739,0,0.011201344,0.002240269,0.015401848,0,0
1C_D_4,0.008202484,0.808999297,0.039606281,0.046636981,0.010780408,0.000937427,0,0.03116944,0.007499414,0,0.007968127,0,0.011249121,0,0
1C_D_5,0.003601441,0.754401761,0.116846739,0.046318527,0.007603041,0,0,0.020208083,0.011304522,0.006402561,0.006002401,0.00090036,0.010004002,0,0
1C_D_6,0.004753915,0.571728188,0.321728188,0.029362416,0.003914989,0,0,0.021252796,0.009368009,0.005592841,0.006431767,0.003215884,0.0026566,0,0
1C_E_1,0.036275478,0.773637425,0.033222591,0.059082338,0.018856065,0,0,0.030708449,0.001346862,0.003950795,0.006913891,0.002693724,0.017598994,0,0
1C_E_2,0.017375519,0.830523859,0.028786307,0.040067427,0.009595436,0.00064834,0,0.025803942,0.005835062,0.003890041,0.007002075,0.002852697,0.01063278,0,0
1C_E_3,0.05517303,0.717159975,0.016274703,0.068675668,0.010998838,0.000447107,0,0.05821336,0.005991237,0.009120987,0.005633551,0.003934544,0.012787266,0,0
1C_E_4,0.061919181,0.679857993,0.024329122,0.054087919,0.013783022,0.00031325,0,0.068810692,0.004489924,0.017437611,0.011381435,0.00198392,0.013156521,0,0
1C_E_5,0.023819387,0.688483844,0.077775476,0.068661972,0.012841756,0.000621375,0,0.047742336,0.008492129,0.010874068,0.006938691,0.001449876,0.008906379,0,0
1C_E_6,0.011533493,0.643476656,0.228178631,0.030356154,0.004705665,0,0,0.024543274,0.010426278,0.007381436,0.005443809,0.003782986,0.004428861,0,0
1G_A_2,0.497238192,0.001239995,0,0.344267839,0.142712208,0,0.000450907,0,0,0.011272686,0,0,0,0,0
1G_A_4,0.392592593,0.001058201,0,0.455026455,0.142269253,0,0,0,0,0.005761317,0,0,0,0,0
1G_A_5,0.3735363,0.006245121,0,0.463700234,0.12607338,0,0,0,0,0.014832162,0,0,0,0,0
1G_A_6,0.693909298,0.001794902,0.00023932,0.056359938,0.163216465,0.000478641,0.032906545,0,0,0.02165849,0,0.001555582,0.000478641,0,0
1G_B_2,0.186336634,0.004158416,0,0.364158416,0.404950495,0,0.021980198,0,0,0.007326733,0,0,0,0,0
1G_B_4,0.198992806,0.00028777,0,0.408201439,0.374244604,0,0.003309353,0,0,0.004460432,0,0,0,0,0
1G_B_5,0.259877456,0.003169237,0,0.310585252,0.343756603,0,0.037608282,0.006127192,0,0.013522079,0,0,0,0,0
