"Sample_Name","Hill0","Hill1","Hill2","Substrate","Frequency","Substrate_Frequency","Replicate","Time","Run"
"1C_A_1",14,2.66797109368675,1.63411487261077,"Cellulose",1,"1C","A",1,"run1"
"1C_A_2",18,2.5166227541698,1.55652959519154,"Cellulose",1,"1C","A",2,"run1"
"1C_A_5",19,2.40102741339193,1.53940742681193,"Cellulose",1,"1C","A",5,"run1"
"1C_A_6",15,3.10299358367483,2.40398128176358,"Cellulose",1,"1C","A",6,"run1"
"1C_A_7",12,2.6310782996667,1.95344496315918,"Cellulose",1,"1C","A",7,"run1"
"1C_B_1",14,2.4249690839755,1.53883422090824,"Cellulose",1,"1C","B",1,"run1"
"1C_B_2",17,2.50500908021544,1.58692682219168,"Cellulose",1,"1C","B",2,"run1"
"1C_B_4",13,2.47750199540788,1.5693434993002,"Cellulose",1,"1C","B",4,"run1"
"1C_B_5",17,2.39744031579904,1.54250909980177,"Cellulose",1,"1C","B",5,"run1"
"1C_B_7",17,3.27307939918614,2.35170830698552,"Cellulose",1,"1C","B",7,"run1"
"1C_C_1",16,2.89202641201707,1.72246841214547,"Cellulose",1,"1C","C",1,"run1"
"1C_C_2",16,2.38101620018167,1.50249335245329,"Cellulose",1,"1C","C",2,"run1"
"1C_C_4",15,2.39394252675281,1.51167482895431,"Cellulose",1,"1C","C",4,"run1"
"1C_C_6",18,3.18485340995598,2.42959556996684,"Cellulose",1,"1C","C",6,"run1"
"1C_C_7",13,2.82441470235319,2.27016311198683,"Cellulose",1,"1C","C",7,"run1"
"1C_D_1",13,2.31687335424151,1.50290189703874,"Cellulose",1,"1C","D",1,"run1"
"1C_D_2",19,2.50263380903481,1.57631972946977,"Cellulose",1,"1C","D",2,"run1"
"1C_D_3",12,2.51361617007653,1.58899454935578,"Cellulose",1,"1C","D",3,"run1"
"1C_D_4",17,2.37479527104008,1.48407523153229,"Cellulose",1,"1C","D",4,"run1"
"1C_D_5",16,2.63817653609455,1.68681798425725,"Cellulose",1,"1C","D",5,"run1"
"1C_D_6",14,2.98565324969743,2.24966147612841,"Cellulose",1,"1C","D",6,"run1"
"1C_E_1",15,2.64362457633802,1.6197380545854,"Cellulose",1,"1C","E",1,"run1"
"1C_E_2",15,2.2201937467021,1.4173587879317,"Cellulose",1,"1C","E",2,"run1"
"1C_E_3",17,2.99274732523808,1.79420242973632,"Cellulose",1,"1C","E",3,"run1"
"1C_E_4",19,3.51747915071511,1.9793885723235,"Cellulose",1,"1C","E",4,"run1"
"1C_E_5",18,3.34186136941909,1.93717820852251,"Cellulose",1,"1C","E",5,"run1"
"1C_E_6",17,3.08716777264116,2.07850777641444,"Cellulose",1,"1C","E",6,"run1"
"1G_A_2",10,2.92755737027058,2.58889370677251,"Glucose",1,"1G","A",2,"run1"
"1G_A_4",8,2.89054868012731,2.6215216274052,"Glucose",1,"1G","A",4,"run1"
"1G_A_5",7,3.15359318096918,2.69606670009712,"Glucose",1,"1G","A",5,"run1"
"1G_A_6",16,2.86441471901276,1.92605551142801,"Glucose",1,"1G","A",6,"run1"
"1G_B_2",9,3.46256854164297,3.00323835857271,"Glucose",1,"1G","B",2,"run1"
"1G_B_4",9,3.18350191989329,2.88714731841628,"Glucose",1,"1G","B",4,"run1"
"1G_B_5",12,4.19726308281667,3.5203770112814,"Glucose",1,"1G","B",5,"run1"
"1G_B_6",14,3.32829843730539,2.47694550609738,"Glucose",1,"1G","B",6,"run1"
