,input,filtered,denoisedF,denoisedR,merged,nonchim
1C-A-1,11757,11100,11064,11075,10510,10427
1C-A-2,11977,11468,11424,11450,10698,10636
1C-A-3,88,58,44,50,43,43
1C-A-4,8,8,1,3,0,0
1C-A-5,15941,15145,15103,15109,14042,14028
1C-A-6,10958,10346,10307,10322,9878,9810
1C-A-7,4654,4353,4332,4242,4188,4171
1C-B-1,16002,15167,15109,15133,14457,14371
1C-B-2,15749,14855,14826,14828,13924,13856
1C-B-3,78,57,53,51,49,49
1C-B-4,6484,6070,6036,6056,5082,5079
1C-B-5,10882,10292,10261,10265,9698,9678
1C-B-6,54,30,20,13,8,8
1C-B-7,9762,9232,9198,9213,8774,8717
1C-C-1,10542,9912,9880,9889,9270,9199
1C-C-2,15899,15098,15048,15063,14351,14257
1C-C-3,132,109,94,98,93,93
1C-C-4,7404,6808,6779,6780,5900,5895
1C-C-5,2,2,1,1,1,1
1C-C-6,13746,12951,12924,12908,12092,11971
1C-C-7,9385,8850,8826,8815,8280,8219
1C-D-1,10581,10071,10052,10048,9288,9240
1C-D-2,16023,15248,15219,15223,14591,14533
1C-D-3,4035,3798,3784,3787,3571,3571
1C-D-4,5017,4801,4780,4782,4267,4267
1C-D-5,12326,11694,11662,11675,10021,9996
1C-D-6,7941,7553,7538,7539,7159,7152
1C-D-7,28,11,10,4,0,0
1C-E-1,12741,12051,12024,12033,11211,11137
1C-E-2,8729,8304,8279,8285,7766,7712
1C-E-3,12584,11950,11921,11921,11243,11183
1C-E-4,11184,10424,10397,10394,9621,9577
1C-E-5,11685,10828,10792,10770,9656,9656
1C-E-6,11746,11061,11039,11036,10968,10838
1C-E-7,62,43,33,25,24,24
1G-A-1,12,12,9,7,7,7
1G-A-2,9842,9197,9142,9175,9104,8871
1G-A-3,128,87,82,76,73,73
1G-A-4,9590,8852,8829,8837,8783,8505
1G-A-5,2845,2601,2590,2582,2566,2562
1G-A-6,9330,8449,8431,8433,8385,8357
1G-B-1,46,29,22,26,20,20
1G-B-2,5978,5194,5164,5171,5119,5050
1G-B-3,110,77,66,66,63,63
1G-B-4,7840,7122,7105,7105,7062,6950
1G-B-5,5412,4857,4835,4846,4806,4733
1G-B-6,17956,15705,15659,15672,15518,15387
1G-B-7,10908,9548,9499,9530,9004,8864
1G-C-1,75,44,37,35,23,23
1G-C-2,4,4,2,2,0,0
1G-C-3,89,58,51,48,44,44
